% data_file
@RELATION entity

@attribute Checked {Yes,No,Y,N}
@attribute Sentence string
@attribute Marked {Y,N}
@attribute By string
@attribute Speaker string
@attribute Party {R,D}
@attribute DebateId numeric
@attribute ID numeric
@attribute Id_1 numeric
@ATTRIBUTE entype_PERSON NUMERIC
@ATTRIBUTE entype_LOCATION NUMERIC
@ATTRIBUTE entype_ORGANIZATION NUMERIC
@ATTRIBUTE entype_MISC NUMERIC
@ATTRIBUTE entype_MONEY NUMERIC
@ATTRIBUTE entype_NUMBER NUMERIC
@ATTRIBUTE entype_ORDINAL NUMERIC
@ATTRIBUTE entype_PERCENT NUMERIC
@ATTRIBUTE entype_DATE NUMERIC
@ATTRIBUTE entype_TIME NUMERIC
@ATTRIBUTE entype_DURATION NUMERIC
@ATTRIBUTE entype_SET NUMERIC
@ATTRIBUTE class_label_1 {0, 1}

@DATA
No,'Well, thank you.',?,None,CLINTON,D,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'And I\'m delighted to be here in New Hampshire for this debate.',?,None,CLINTON,D,1,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0
No,'You know, the American president has to both keep our families safe and make the economy grow in a way that helps everyone, not just those at the top.',?,None,CLINTON,D,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
No,'That\'s the job.',?,None,CLINTON,D,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'I have a strategy to combat and defeat ISIS without getting us involved in another ground war, and I have plans to raise incomes and deal with a lot of the problems that keep families up at night.',?,None,CLINTON,D,1,4,2,0,0,1,0,0,0,0,0,0,1,0,0,0
Yes,'I\'m very clear that we have a distinct difference between those of us on this stage tonight and all of our Republican counterparts.',N,washingtonpost.com,CLINTON,D,1,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Yes,'From my perspective, we have to prevent the Republicans from rolling back the progress that we\'ve made.',N,washingtonpost.com,CLINTON,D,1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Yes,'They would repeal the Affordable Care Act, not improve it.',Y,washingtonpost.com,CLINTON,D,1,5,2,0,0,0,3,0,0,0,0,0,0,0,0,1
Yes,'They would give more tax breaks to the super-wealthy and corporations, not to the middle class.',Y,washingtonpost.com,CLINTON,D,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1
Yes,'And they would, despite all their tough talk about terrorism, continue to let people who are on the no-fly list buy guns.',Y,washingtonpost.com,CLINTON,D,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1
No,'So we have a lot of work to do in this campaign to make it clear where we stand in the Democratic Party, what we will do for our country, and I look forward to this evening\'s discussion of real issues that face the American people.',?,None,CLINTON,D,1,6,0,0,0,2,1,0,0,0,0,0,2,0,0,0
No,'Thank you.',?,None,CLINTON,D,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'Martha, thank you.',?,None,OMALLEY,D,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0
No,'Tonight we have a different debate than the debates that we have been allowed to have so far, because tonight is different because of this reason, that in the course of this presidential campaign America has again been attacked by jihadi terrorists, American lives taken from us.',?,None,OMALLEY,D,1,11,1,0,1,0,1,0,0,0,0,2,0,0,0,0
No,'So, yes, we must talk about our ideas to move our economy forward, but the first job of the president of the United States is to protect the people of the United States.',?,None,OMALLEY,D,1,11,2,0,4,0,0,0,0,1,0,0,0,0,0,0
No,'I visited with a number of our neighbors in Northern Virginia at a mosque last Friday.',?,None,OMALLEY,D,1,12,0,0,2,0,0,0,0,0,0,2,0,0,0,0
No,'And as I looked out there at the eyes of our neighbors, I also looked in the eyes of veterans.',?,None,OMALLEY,D,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'I looked into the eyes of Boy Scouts.',?,None,OMALLEY,D,1,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'I looked into the eyes of moms and dads who would do anything in their power to protect our country\'s values and our freedoms.',?,None,OMALLEY,D,1,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'What our nation needs right now is to realize that, while we face a terrible danger, we also face a different sort of political danger.',?,None,OMALLEY,D,1,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0
No,'And that is the danger that democracies find themselves susceptible to when unscrupulous leaders try to turn us upon each other.',?,None,OMALLEY,D,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'What our country needs right now is new leadership that will bring us together around the values that unite us and the freedoms that we share as Americans.',?,None,OMALLEY,D,1,13,2,0,0,0,1,0,0,0,0,2,0,0,0,0
No,'We will rise to challenge of ISIL and we will rise together to the challenges that we face in our economy.',?,None,OMALLEY,D,1,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0
No,'But we will only do so if we hold true to the values and the freedoms that unite us, which means we must never surrender them to terrorists, must never surrender our Americans values to racist, must never surrender to the fascist pleas of billionaires with big mouths.',?,None,OMALLEY,D,1,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0
No,'We are a better country than this.',?,None,OMALLEY,D,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'Our enduring symbol is not the barbed wire fence, it is the Statue of Liberty.',?,None,OMALLEY,D,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'And America\'s best days are in front of us if we move forward together.',?,None,OMALLEY,D,1,15,2,0,1,0,0,0,0,0,0,0,0,1,0,0
No,'Good evening.',?,None,SANDERS,D,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'I am running for president of the United States because it is too late for establishment politics and establishment economics.',?,None,SANDERS,D,1,19,0,0,2,0,0,0,0,0,0,0,0,0,0,0
No,'I\'m running for president because our economy is rigged because working people are working longer hours for lower wages and almost all of new wealth and income being created is going to the top one percent.',?,None,SANDERS,D,1,19,1,0,0,0,0,0,0,0,2,0,0,1,0,0
No,'I\'m running for president because I\'m going to create an economy that works for working families not just billionaires.',?,None,SANDERS,D,1,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'I\'m running for president because we have a campaign finance system which is corrupt, where billionaires are spending hundreds of millionaires of dollars to buy candidates who will represent their interests rather than the middle class and working families.',?,None,SANDERS,D,1,20,0,0,0,0,0,5,0,0,0,0,0,0,0,0
No,'I\'m running because we need to address the planetary crisis of climate change and take on the fossil fuel industry and transform our energy system away from fossil fuel to energy efficiency and sustainable energy.',?,None,SANDERS,D,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'I\'m running for president because I want a new foreign policy; one that takes on Isis, one that destroys ISIS, but one that does not get us involved in perpetual warfare in the quagmire of the Middle East but rather works around a major coalition of wealthy and powerful nations supporting Muslim troops on the ground.',?,None,SANDERS,D,1,21,0,0,2,2,1,0,3,0,0,0,0,0,0,0
No,'That\'s the kind of coalition we need and that\'s the kind of coalition I will put together.',?,None,SANDERS,D,1,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'David, let me give you a little bit of background here.',?,None,SANDERS,D,1,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0
No,'The DNC has hired vendors.',?,None,SANDERS,D,1,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0
No,'On two occasions, there were breeches in information two months ago.',?,None,SANDERS,D,1,28,1,0,0,0,0,0,1,0,0,3,0,0,0,0
No,'Our staff found information on our computers from the Clinton campaign.',?,None,SANDERS,D,1,28,2,1,0,0,0,0,0,0,0,0,0,0,0,0
No,'And when our staffers said, \"whoa, what\'s going here?\"',?,None,SANDERS,D,1,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'They went to the DNC quietly.',?,None,SANDERS,D,1,28,4,0,0,1,0,0,0,0,0,0,0,0,0,0
No,'They went to the vendor and said, \"hey, something is wrong,\" and that was quietly dealt with.',?,None,SANDERS,D,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'None of that information was looked at.',?,None,SANDERS,D,1,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'Our staffer at that point did exactly the right thing.',?,None,SANDERS,D,1,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,'A few days ago a similar incident happened.',N,washingtonpost.com,SANDERS,D,1,30,0,0,0,0,0,0,0,0,0,4,0,0,0,0
