allpca+rfc
             precision    recall  f1-score   support

        0.0       0.99      0.77      0.87      3642
        1.0       0.10      0.69      0.17       132

avg / total       0.95      0.77      0.84      3774
10	0.4	0.015	0.386
20	0.35	0.024	0.356
30	0.3	0.029	0.32
40	0.275	0.034	0.299
50	0.3	0.043	0.313
60	0.317	0.052	0.323
70	0.314	0.059	0.321
80	0.287	0.062	0.301
90	0.267	0.064	0.285
100	0.26	0.068	0.279
200	0.22	0.073	0.325
300	0.18	0.073	0.374
500	0.13	0.073	0.424
1000	0.093	0.073	0.54
ClaimBuster
10	0.1	0.002	0.085
20	0.15	0.004	0.125
30	0.133	0.005	0.12
40	0.15	0.007	0.133
50	0.16	0.01	0.143
60	0.183	0.014	0.161
70	0.2	0.018	0.175
80	0.2	0.021	0.177
90	0.2	0.025	0.179
100	0.18	0.025	0.166
200	0.15	0.032	0.202
300	0.163	0.032	0.295
500	0.138	0.032	0.387
1000	0.092	0.032	0.482
