enbed+ada
             precision    recall  f1-score   support

        0.0       0.99      0.71      0.83      3642
        1.0       0.09      0.77      0.16       132

avg / total       0.96      0.72      0.81      3774
10	0.3	0.015	0.393
20	0.15	0.015	0.254
30	0.133	0.016	0.219
40	0.1	0.016	0.181
50	0.1	0.017	0.169
60	0.1	0.018	0.161
70	0.1	0.019	0.155
80	0.087	0.019	0.141
90	0.078	0.019	0.129
100	0.08	0.019	0.127
200	0.1	0.021	0.169
300	0.1	0.021	0.218
500	0.1	0.021	0.309
1000	0.092	0.021	0.48
ClaimBuster
10	0.1	0.001	0.078
20	0.15	0.004	0.12
30	0.133	0.005	0.116
40	0.125	0.006	0.113
50	0.18	0.011	0.153
60	0.15	0.011	0.135
70	0.186	0.016	0.162
80	0.212	0.023	0.184
90	0.2	0.024	0.177
100	0.18	0.024	0.164
200	0.15	0.031	0.2
300	0.163	0.031	0.294
500	0.136	0.031	0.381
1000	0.092	0.031	0.48
