enbed+adasampledtest
             precision    recall  f1-score   support

        0.0       0.78      0.79      0.78       132
        1.0       0.78      0.77      0.78       132

avg / total       0.78      0.78      0.78       264
10	1.0	0.076	1.0
20	1.0	0.152	1.0
30	0.933	0.212	0.955
40	0.9	0.266	0.927
50	0.92	0.335	0.938
60	0.933	0.405	0.945
70	0.943	0.476	0.95
80	0.95	0.548	0.955
90	0.956	0.62	0.959
100	0.96	0.693	0.962
200	0.595	0.742	0.912
300	0.44	0.742	0.976
500	0.264	0.742	0.976
1000	0.132	0.742	0.976
