enbed+lsvm
             precision    recall  f1-score   support

        0.0       0.99      0.89      0.94      3642
        1.0       0.21      0.79      0.33       132

avg / total       0.96      0.89      0.92      3774
10	0.1	0.001	0.064
20	0.55	0.031	0.396
30	0.6	0.061	0.465
40	0.6	0.089	0.488
50	0.62	0.121	0.518
60	0.617	0.15	0.528
70	0.6	0.172	0.525
80	0.6	0.199	0.531
90	0.556	0.208	0.505
100	0.54	0.225	0.497
200	0.38	0.239	0.525
300	0.297	0.239	0.588
500	0.208	0.239	0.657
1000	0.114	0.239	0.699
ClaimBuster
10	0.1	0.001	0.078
20	0.15	0.004	0.12
30	0.133	0.005	0.116
40	0.125	0.006	0.113
50	0.18	0.011	0.153
60	0.15	0.011	0.135
70	0.186	0.016	0.162
80	0.212	0.023	0.184
90	0.2	0.024	0.177
100	0.18	0.024	0.164
200	0.15	0.031	0.2
300	0.163	0.031	0.294
500	0.136	0.031	0.381
1000	0.092	0.031	0.48
