enbed+lsvmsampledtest
             precision    recall  f1-score   support

        0.0       0.81      0.88      0.84       132
        1.0       0.87      0.79      0.83       132

avg / total       0.84      0.83      0.83       264
10	0.9	0.054	0.78
20	0.95	0.124	0.858
30	0.967	0.197	0.891
40	0.975	0.271	0.91
50	0.98	0.345	0.922
60	0.95	0.404	0.908
70	0.943	0.468	0.907
80	0.938	0.533	0.907
90	0.933	0.596	0.906
100	0.9	0.639	0.884
200	0.625	0.771	0.917
300	0.44	0.771	0.952
500	0.264	0.771	0.952
1000	0.132	0.771	0.952
