enbed+rsvmsampledtest
             precision    recall  f1-score   support

        0.0       0.82      0.84      0.83       132
        1.0       0.84      0.81      0.82       132

avg / total       0.83      0.83      0.83       264
10	1.0	0.076	1.0
20	1.0	0.152	1.0
30	1.0	0.227	1.0
40	1.0	0.303	1.0
50	1.0	0.379	1.0
60	1.0	0.455	1.0
70	0.986	0.523	0.99
80	0.975	0.589	0.982
90	0.944	0.64	0.959
100	0.94	0.705	0.955
200	0.605	0.799	0.931
300	0.44	0.799	0.986
500	0.264	0.799	0.986
1000	0.132	0.799	0.986
