embed100ada
             precision    recall  f1-score   support

        0.0       0.99      0.69      0.82      6753
        1.0       0.09      0.80      0.17       261

avg / total       0.96      0.70      0.79      7014
10	0.0	0.0	0.0
20	0.0	0.0	0.0
30	0.033	0.001	0.022
40	0.1	0.007	0.071
50	0.1	0.008	0.075
60	0.083	0.007	0.066
70	0.086	0.007	0.069
80	0.075	0.006	0.063
90	0.078	0.006	0.066
100	0.07	0.006	0.061
200	0.08	0.006	0.072
300	0.09	0.007	0.092
500	0.09	0.007	0.14
1000	0.09	0.007	0.251
