embed100adasampledtest
             precision    recall  f1-score   support

        0.0       0.79      0.72      0.75       261
        1.0       0.74      0.80      0.77       261

avg / total       0.76      0.76      0.76       522
10	1.0	1.0	1.0
20	1.0	1.0	1.0
30	1.0	1.0	1.0
40	1.0	1.0	1.0
50	1.0	1.0	1.0
60	0.983	0.982	0.988
70	0.986	0.983	0.99
80	0.875	0.872	0.91
90	0.867	0.852	0.901
100	0.88	0.854	0.908
200	0.94	0.886	0.945
300	0.707	0.758	0.845
500	0.508	0.758	0.958
1000	0.261	0.758	0.976
