embed100lsvm
             precision    recall  f1-score   support

        0.0       0.99      0.91      0.95      6753
        1.0       0.24      0.74      0.37       261

avg / total       0.96      0.91      0.93      7014
10	0.0	0.0	0.0
20	0.25	0.04	0.167
30	0.5	0.162	0.36
40	0.625	0.265	0.472
50	0.7	0.346	0.546
60	0.75	0.41	0.599
70	0.786	0.461	0.64
80	0.812	0.504	0.672
90	0.833	0.539	0.698
100	0.85	0.57	0.72
200	0.655	0.468	0.619
300	0.497	0.381	0.559
500	0.34	0.381	0.617
1000	0.202	0.381	0.697
