embed100rsvm
             precision    recall  f1-score   support

        0.0       0.99      0.90      0.94      6753
        1.0       0.22      0.75      0.33       261

avg / total       0.96      0.89      0.92      7014
10	1.0	1.0	1.0
20	0.95	0.921	0.96
30	0.967	0.934	0.97
40	0.95	0.917	0.958
50	0.94	0.902	0.949
60	0.917	0.875	0.932
70	0.9	0.853	0.918
80	0.887	0.836	0.908
90	0.867	0.811	0.891
100	0.85	0.791	0.877
200	0.6	0.522	0.668
300	0.477	0.435	0.614
500	0.344	0.435	0.694
1000	0.2	0.435	0.763
