embed100rsvmsampledtest
             precision    recall  f1-score   support

        0.0       0.77      0.85      0.81       261
        1.0       0.84      0.75      0.79       261

avg / total       0.80      0.80      0.80       522
10	1.0	1.0	1.0
20	0.95	0.921	0.96
30	0.967	0.934	0.97
40	0.975	0.944	0.975
50	0.98	0.95	0.978
60	0.983	0.956	0.981
70	0.986	0.96	0.983
80	0.975	0.95	0.975
90	0.967	0.941	0.969
100	0.97	0.944	0.972
200	0.89	0.851	0.908
300	0.737	0.753	0.87
500	0.52	0.753	0.977
1000	0.261	0.753	0.979
