embed200lsvmsampledtest
             precision    recall  f1-score   support

        0.0       0.71      0.95      0.81       261
        1.0       0.93      0.62      0.74       261

avg / total       0.82      0.78      0.78       522
10	0.8	0.514	0.641
20	0.9	0.69	0.768
30	0.933	0.767	0.822
40	0.95	0.811	0.853
50	0.96	0.84	0.874
60	0.967	0.861	0.888
70	0.971	0.876	0.9
80	0.975	0.888	0.909
90	0.978	0.898	0.916
100	0.98	0.906	0.922
200	0.875	0.822	0.864
300	0.74	0.737	0.846
500	0.516	0.737	0.944
1000	0.261	0.737	0.952
