embed300ada
             precision    recall  f1-score   support

        0.0       0.99      0.69      0.81      6753
        1.0       0.08      0.74      0.15       261

avg / total       0.95      0.69      0.78      7014
10	0.2	0.049	0.159
20	0.15	0.033	0.136
30	0.1	0.022	0.104
40	0.1	0.019	0.104
50	0.1	0.018	0.104
60	0.1	0.017	0.103
70	0.114	0.018	0.113
80	0.113	0.017	0.112
90	0.122	0.018	0.119
100	0.13	0.019	0.125
200	0.13	0.017	0.126
300	0.12	0.016	0.133
500	0.104	0.016	0.176
1000	0.114	0.016	0.33
