embed300rsvm
             precision    recall  f1-score   support

        0.0       0.99      0.90      0.94      6753
        1.0       0.23      0.76      0.35       261

avg / total       0.96      0.90      0.92      7014
10	0.9	0.89	0.934
20	0.95	0.912	0.957
30	0.967	0.928	0.967
40	0.95	0.91	0.955
50	0.94	0.897	0.947
60	0.917	0.873	0.93
70	0.9	0.852	0.917
80	0.875	0.822	0.897
90	0.856	0.798	0.882
100	0.84	0.779	0.869
200	0.63	0.548	0.692
300	0.493	0.447	0.63
500	0.352	0.447	0.707
1000	0.199	0.447	0.765
