embed50adasampledtest
             precision    recall  f1-score   support

        0.0       0.74      0.76      0.75       261
        1.0       0.76      0.74      0.75       261

avg / total       0.75      0.75      0.75       522
10	1.0	1.0	1.0
20	1.0	1.0	1.0
30	1.0	1.0	1.0
40	1.0	1.0	1.0
50	1.0	1.0	1.0
60	0.967	0.963	0.976
70	0.857	0.852	0.898
80	0.812	0.796	0.862
90	0.833	0.799	0.873
100	0.85	0.804	0.882
200	0.925	0.85	0.929
300	0.663	0.679	0.801
500	0.502	0.679	0.94
1000	0.261	0.679	0.966
