embed50lsvm
             precision    recall  f1-score   support

        0.0       0.99      0.88      0.93      6753
        1.0       0.20      0.78      0.32       261

avg / total       0.96      0.87      0.91      7014
10	0.2	0.031	0.13
20	0.6	0.248	0.438
30	0.733	0.393	0.568
40	0.8	0.488	0.644
50	0.84	0.555	0.693
60	0.867	0.605	0.73
70	0.886	0.644	0.757
80	0.9	0.675	0.779
90	0.911	0.701	0.796
100	0.92	0.722	0.811
200	0.715	0.593	0.697
300	0.523	0.481	0.611
500	0.338	0.481	0.644
1000	0.202	0.481	0.727
