embed50adasampledtest
             precision    recall  f1-score   support

        0.0       0.78      0.68      0.73       261
        1.0       0.72      0.80      0.76       261

avg / total       0.75      0.74      0.74       522
10	1.0	1.0	1.0
20	0.95	0.95	0.968
30	0.967	0.953	0.975
40	0.975	0.958	0.979
50	0.9	0.882	0.927
60	0.817	0.792	0.865
70	0.786	0.749	0.838
80	0.787	0.734	0.835
90	0.789	0.722	0.832
100	0.81	0.73	0.844
200	0.83	0.729	0.849
300	0.71	0.644	0.833
500	0.52	0.644	0.959
1000	0.261	0.644	0.962
