embed50rsvm
             precision    recall  f1-score   support

        0.0       0.99      0.90      0.94      6753
        1.0       0.23      0.75      0.35       261

avg / total       0.96      0.90      0.92      7014
10	1.0	1.0	1.0
20	0.95	0.921	0.96
30	0.967	0.934	0.97
40	0.95	0.914	0.957
50	0.94	0.903	0.949
60	0.917	0.879	0.932
70	0.929	0.885	0.939
80	0.9	0.854	0.918
90	0.9	0.849	0.916
100	0.86	0.809	0.886
200	0.63	0.557	0.694
300	0.5	0.465	0.639
500	0.352	0.465	0.71
1000	0.204	0.465	0.779
