embed50rsvmsampledtest
             precision    recall  f1-score   support

        0.0       0.79      0.92      0.85       261
        1.0       0.90      0.75      0.82       261

avg / total       0.84      0.83      0.83       522
10	1.0	1.0	1.0
20	0.95	0.921	0.96
30	0.967	0.934	0.97
40	0.975	0.944	0.975
50	0.98	0.95	0.978
60	0.983	0.956	0.981
70	0.986	0.96	0.983
80	0.988	0.963	0.984
90	0.989	0.966	0.986
100	0.99	0.968	0.987
200	0.93	0.909	0.942
300	0.763	0.792	0.897
500	0.518	0.792	0.979
1000	0.261	0.792	0.984
