embed50adasampledtest
             precision    recall  f1-score   support

        0.0       0.77      0.75      0.76       132
        1.0       0.76      0.77      0.76       132

avg / total       0.76      0.76      0.76       264
10	0.8	0.514	0.641
20	0.9	0.69	0.768
30	0.9	0.736	0.8
40	0.9	0.752	0.817
50	0.92	0.784	0.842
60	0.933	0.808	0.861
70	0.943	0.826	0.875
80	0.95	0.842	0.886
90	0.956	0.854	0.895
100	0.96	0.864	0.903
200	0.575	0.697	0.842
300	0.44	0.697	0.926
500	0.264	0.697	0.926
1000	0.132	0.697	0.926
