embed50rsvm
             precision    recall  f1-score   support

        0.0       0.99      0.92      0.95      3642
        1.0       0.26      0.78      0.39       132

avg / total       0.97      0.91      0.93      3774
10	1.0	1.0	1.0
20	0.95	0.929	0.963
30	0.967	0.94	0.971
40	0.95	0.922	0.959
50	0.94	0.907	0.951
60	0.883	0.846	0.909
70	0.871	0.824	0.898
80	0.838	0.785	0.871
90	0.8	0.744	0.842
100	0.75	0.693	0.802
200	0.47	0.562	0.76
300	0.337	0.562	0.794
500	0.212	0.562	0.817
1000	0.114	0.562	0.85
