pos+sub+len+lsvm
             precision    recall  f1-score   support

        0.0       0.98      0.56      0.71      3642
        1.0       0.05      0.71      0.10       132

avg / total       0.95      0.56      0.69      3774
10	0.0	0.0	0.0
20	0.05	0.001	0.037
30	0.133	0.003	0.098
40	0.125	0.004	0.098
50	0.14	0.006	0.112
60	0.133	0.007	0.111
70	0.114	0.007	0.099
80	0.125	0.009	0.108
90	0.122	0.01	0.108
100	0.11	0.01	0.1
200	0.115	0.016	0.148
300	0.093	0.016	0.172
500	0.074	0.016	0.212
1000	0.06	0.016	0.308
ClaimBuster
10	0.1	0.001	0.078
20	0.15	0.004	0.12
30	0.133	0.005	0.116
40	0.15	0.007	0.13
50	0.16	0.01	0.14
60	0.167	0.012	0.147
70	0.186	0.016	0.163
80	0.225	0.025	0.193
90	0.2	0.025	0.177
100	0.18	0.025	0.165
200	0.15	0.031	0.2
300	0.163	0.031	0.294
500	0.136	0.031	0.381
1000	0.092	0.031	0.48
