pos+sub+len+rfc
             precision    recall  f1-score   support

        0.0       0.98      0.69      0.81      3642
        1.0       0.07      0.64      0.13       132

avg / total       0.95      0.69      0.79      3774
10	0.1	0.004	0.139
20	0.1	0.005	0.125
30	0.133	0.007	0.141
40	0.125	0.008	0.133
50	0.1	0.008	0.115
60	0.117	0.009	0.125
70	0.114	0.01	0.122
80	0.125	0.012	0.129
90	0.122	0.013	0.127
100	0.14	0.016	0.139
200	0.15	0.023	0.201
300	0.127	0.023	0.241
500	0.094	0.023	0.281
1000	0.078	0.023	0.41
ClaimBuster
10	0.1	0.001	0.078
20	0.15	0.004	0.12
30	0.133	0.005	0.116
40	0.15	0.007	0.13
50	0.16	0.01	0.14
60	0.167	0.012	0.147
70	0.186	0.016	0.163
80	0.225	0.025	0.193
90	0.2	0.025	0.177
100	0.18	0.025	0.165
200	0.15	0.031	0.2
300	0.163	0.031	0.294
500	0.136	0.031	0.381
1000	0.092	0.031	0.48
