pos+sub+len+topicada
             precision    recall  f1-score   support

        0.0       0.98      0.66      0.79      3642
        1.0       0.07      0.66      0.12       132

avg / total       0.95      0.66      0.76      3774
10	0.1	0.008	0.22
20	0.05	0.008	0.142
30	0.067	0.008	0.132
40	0.05	0.008	0.109
50	0.04	0.008	0.094
60	0.033	0.008	0.083
70	0.029	0.008	0.074
80	0.025	0.008	0.068
90	0.022	0.008	0.062
100	0.02	0.008	0.058
200	0.02	0.008	0.058
300	0.04	0.008	0.097
500	0.044	0.008	0.143
1000	0.073	0.008	0.352
ClaimBuster
10	0.1	0.002	0.085
20	0.15	0.004	0.125
30	0.133	0.005	0.119
40	0.15	0.007	0.133
50	0.18	0.011	0.157
60	0.183	0.014	0.162
70	0.2	0.019	0.176
80	0.212	0.023	0.187
90	0.2	0.025	0.18
100	0.18	0.025	0.167
200	0.15	0.032	0.202
300	0.163	0.032	0.296
500	0.138	0.032	0.387
1000	0.091	0.032	0.478
