pos+sub+len+topicrfc
             precision    recall  f1-score   support

        0.0       0.98      0.68      0.81      3642
        1.0       0.07      0.71      0.14       132

avg / total       0.95      0.68      0.78      3774
10	0.2	0.003	0.149
20	0.1	0.003	0.096
30	0.167	0.007	0.143
40	0.175	0.01	0.154
50	0.18	0.013	0.161
60	0.217	0.019	0.189
70	0.2	0.02	0.18
80	0.188	0.022	0.172
90	0.178	0.023	0.167
100	0.17	0.025	0.162
200	0.14	0.028	0.192
300	0.13	0.028	0.246
500	0.106	0.028	0.31
1000	0.085	0.028	0.441
ClaimBuster
10	0.1	0.002	0.085
20	0.15	0.004	0.125
30	0.133	0.005	0.119
40	0.15	0.007	0.133
50	0.18	0.011	0.157
60	0.183	0.014	0.162
70	0.2	0.019	0.176
80	0.212	0.023	0.187
90	0.2	0.025	0.18
100	0.18	0.025	0.167
200	0.15	0.032	0.202
300	0.163	0.032	0.296
500	0.138	0.032	0.387
1000	0.091	0.032	0.478
