AdaBoost2sampled
             precision    recall  f1-score   support

        0.0       0.60      0.85      0.70       132
        1.0       0.74      0.44      0.55       132

avg / total       0.67      0.64      0.63       264
10	0.9	0.065	0.922
20	0.9	0.125	0.912
30	0.833	0.169	0.86
40	0.825	0.217	0.849
50	0.82	0.267	0.842
60	0.8	0.31	0.825
70	0.771	0.346	0.802
80	0.738	0.375	0.775
90	0.767	0.432	0.793
100	0.79	0.491	0.808
200	0.565	0.606	0.849
300	0.44	0.606	0.943
500	0.264	0.606	0.943
1000	0.132	0.606	0.943
