AdaBoost
             precision    recall  f1-score   support

        0.0       0.98      0.71      0.83      3642
        1.0       0.08      0.65      0.14       132

avg / total       0.95      0.71      0.80      3774
10	0.0	0.0	0.0
20	0.0	0.0	0.0
30	0.033	0.0	0.022
40	0.05	0.001	0.036
50	0.04	0.001	0.031
60	0.033	0.001	0.027
70	0.029	0.001	0.024
80	0.062	0.002	0.049
90	0.078	0.003	0.061
100	0.09	0.004	0.071
200	0.16	0.01	0.183
300	0.147	0.01	0.242
500	0.118	0.01	0.309
1000	0.082	0.01	0.402
ClaimBuster
10	0.1	0.001	0.078
20	0.15	0.004	0.122
30	0.133	0.005	0.118
40	0.15	0.007	0.131
50	0.18	0.011	0.155
60	0.183	0.014	0.16
70	0.2	0.019	0.174
80	0.2	0.022	0.177
90	0.2	0.025	0.178
100	0.18	0.025	0.166
200	0.15	0.032	0.201
300	0.16	0.032	0.29
500	0.138	0.032	0.386
1000	0.09	0.032	0.473
