AdaBoostsampled
             precision    recall  f1-score   support

        0.0       0.68      0.74      0.71       132
        1.0       0.72      0.65      0.68       132

avg / total       0.70      0.70      0.70       264
10	0.8	0.041	0.685
20	0.9	0.107	0.797
30	0.9	0.168	0.82
40	0.875	0.221	0.816
50	0.84	0.266	0.8
60	0.783	0.298	0.765
70	0.8	0.352	0.778
80	0.787	0.394	0.771
90	0.722	0.405	0.726
100	0.73	0.449	0.731
200	0.605	0.557	0.86
300	0.44	0.557	0.914
500	0.264	0.557	0.914
1000	0.132	0.557	0.914
