ExtraTreesClassifier
		       precision	 recall	f1-score	support

	     0.0	    0.99	   0.68	   0.80	   3642
	     1.0	    0.08	   0.76	   0.14	    132

	avg / total	    0.96	   0.68	   0.78	   3774

10	0.1	0.001	0.078
20	0.3	0.011	0.232
30	0.333	0.021	0.27
40	0.25	0.021	0.223
50	0.24	0.025	0.22
60	0.25	0.031	0.229
70	0.286	0.041	0.256
80	0.275	0.045	0.251
90	0.256	0.047	0.239
100	0.28	0.057	0.258
200	0.195	0.064	0.272
300	0.167	0.064	0.325
500	0.126	0.064	0.385
1000	0.093	0.064	0.51
ClaimBuster
10	0.1	0.002	0.085
20	0.15	0.004	0.126
30	0.133	0.005	0.121
40	0.15	0.008	0.134
50	0.18	0.011	0.157
60	0.167	0.013	0.15
70	0.2	0.019	0.176
80	0.2	0.022	0.178
90	0.2	0.025	0.18
100	0.18	0.025	0.167
200	0.15	0.032	0.202
300	0.16	0.032	0.291
500	0.136	0.032	0.383
1000	0.092	0.032	0.482
