ExtraTreesClassifiersampled
             precision    recall  f1-score   support

        0.0       0.73      0.66      0.69       132
        1.0       0.69      0.76      0.72       132

avg / total       0.71      0.71      0.71       264
10	1.0	0.076	1.0
20	0.85	0.123	0.892
30	0.9	0.19	0.917
40	0.875	0.245	0.898
50	0.86	0.298	0.884
60	0.85	0.349	0.874
70	0.829	0.394	0.857
80	0.8	0.432	0.834
90	0.778	0.468	0.815
100	0.76	0.503	0.799
200	0.605	0.622	0.9
300	0.44	0.622	0.955
500	0.264	0.622	0.955
1000	0.132	0.622	0.955
