Linear SVM
             precision    recall  f1-score   support

        0.0       0.98      0.72      0.83      3642
        1.0       0.08      0.69      0.15       132

avg / total       0.95      0.72      0.81      3774


10	0.2	0.006	0.208
20	0.2	0.009	0.206
30	0.267	0.017	0.251
40	0.25	0.021	0.242
50	0.28	0.029	0.264
60	0.233	0.029	0.233
70	0.243	0.035	0.24
80	0.237	0.039	0.236
90	0.222	0.04	0.225
100	0.22	0.044	0.224
200	0.19	0.054	0.27
300	0.157	0.054	0.314
500	0.13	0.054	0.395
1000	0.088	0.054	0.49
ClaimBuster
10	0.1	0.001	0.078
20	0.15	0.004	0.12
30	0.133	0.005	0.116
40	0.15	0.007	0.13
50	0.18	0.011	0.153
60	0.15	0.011	0.135
70	0.2	0.018	0.173
80	0.212	0.023	0.184
90	0.2	0.024	0.177
100	0.18	0.024	0.164
200	0.15	0.031	0.2
300	0.163	0.031	0.294
500	0.138	0.031	0.385
1000	0.092	0.031	0.48
