RBF SVMsampledtest
             precision    recall  f1-score   support

        0.0       0.69      0.72      0.70       132
        1.0       0.71      0.67      0.69       132

avg / total       0.70      0.70      0.70       264
10	0.8	0.04	0.67
20	0.75	0.081	0.68
30	0.833	0.142	0.754
40	0.825	0.192	0.762
50	0.8	0.234	0.753
60	0.833	0.296	0.782
70	0.814	0.34	0.774
80	0.762	0.364	0.74
90	0.767	0.411	0.745
100	0.75	0.445	0.734
200	0.59	0.539	0.835
300	0.44	0.539	0.906
500	0.264	0.539	0.906
1000	0.132	0.539	0.906
