             precision    recall  f1-score   support

        0.0       0.99      0.75      0.85      3642
        1.0       0.09      0.70      0.16       132

avg / total       0.95      0.75      0.83      3774

10	0.1	0.001	0.078
20	0.2	0.005	0.156
30	0.267	0.013	0.213
40	0.25	0.017	0.21
50	0.24	0.021	0.209
60	0.267	0.029	0.231
70	0.243	0.031	0.218
80	0.25	0.037	0.225
90	0.244	0.041	0.224
100	0.22	0.041	0.207
200	0.165	0.044	0.229
300	0.15	0.044	0.288
500	0.12	0.044	0.355
1000	0.092	0.044	0.488
10	0.1	0.001	0.078
20	0.15	0.004	0.12
30	0.133	0.005	0.116
40	0.15	0.007	0.13
50	0.16	0.009	0.14
60	0.167	0.012	0.147
70	0.2	0.018	0.172
80	0.212	0.023	0.184
90	0.2	0.024	0.177
100	0.18	0.024	0.164
200	0.15	0.031	0.2
300	0.163	0.031	0.294
500	0.136	0.031	0.381
1000	0.092	0.031	0.48
