knn_101sampledtest
             precision    recall  f1-score   support

        0.0       0.68      0.53      0.60       132
        1.0       0.61      0.75      0.68       132

avg / total       0.65      0.64      0.64       264
10	0.6	0.028	0.552
20	0.7	0.071	0.644
30	0.767	0.121	0.703
40	0.75	0.161	0.702
50	0.66	0.178	0.646
60	0.667	0.213	0.652
70	0.671	0.249	0.657
80	0.675	0.285	0.661
90	0.656	0.31	0.648
100	0.66	0.345	0.652
200	0.58	0.424	0.805
300	0.44	0.424	0.885
500	0.264	0.424	0.885
1000	0.132	0.424	0.885
