rf_(10, 10, 10)sampledtest
             precision    recall  f1-score   support

        0.0       0.64      0.64      0.64       132
        1.0       0.64      0.64      0.64       132

avg / total       0.64      0.64      0.64       264
10	0.7	0.053	0.801
20	0.4	0.056	0.549
30	0.433	0.072	0.536
40	0.5	0.096	0.564
50	0.56	0.129	0.597
60	0.617	0.169	0.632
70	0.614	0.197	0.629
80	0.625	0.231	0.636
90	0.644	0.27	0.649
100	0.67	0.314	0.667
200	0.59	0.398	0.823
300	0.44	0.398	0.893
500	0.264	0.398	0.893
1000	0.132	0.398	0.893
