rf_(100, 50, 25, 25)
             precision    recall  f1-score   support

        0.0       0.98      0.65      0.79      3642
        1.0       0.07      0.70      0.12       132

avg / total       0.95      0.66      0.76      3774
10	0.1	0.008	0.22
20	0.05	0.008	0.142
30	0.133	0.01	0.18
40	0.125	0.012	0.167
50	0.1	0.012	0.143
60	0.083	0.012	0.127
70	0.086	0.012	0.124
80	0.087	0.013	0.122
90	0.078	0.013	0.112
100	0.09	0.014	0.118
200	0.115	0.018	0.173
300	0.15	0.018	0.281
500	0.114	0.018	0.336
1000	0.077	0.018	0.419
ClaimBuster
10	0.1	0.001	0.078
20	0.15	0.004	0.122
30	0.133	0.005	0.117
40	0.15	0.007	0.131
50	0.18	0.011	0.155
60	0.167	0.012	0.148
70	0.2	0.018	0.174
80	0.2	0.021	0.176
90	0.2	0.025	0.178
100	0.18	0.025	0.165
200	0.15	0.031	0.201
300	0.163	0.031	0.294
500	0.136	0.031	0.382
1000	0.091	0.031	0.477
