rf_(100, 50, 25, 25)sampledtest
             precision    recall  f1-score   support

        0.0       0.65      0.56      0.60       132
        1.0       0.61      0.70      0.65       132

avg / total       0.63      0.63      0.63       264
10	0.7	0.049	0.785
20	0.7	0.087	0.753
30	0.667	0.117	0.717
40	0.725	0.165	0.749
50	0.74	0.209	0.756
60	0.75	0.255	0.761
70	0.729	0.288	0.745
80	0.725	0.327	0.741
90	0.7	0.354	0.721
100	0.66	0.37	0.691
200	0.56	0.448	0.816
300	0.44	0.448	0.915
500	0.264	0.448	0.915
1000	0.132	0.448	0.915
