rf_(20, 20)sampledtest
             precision    recall  f1-score   support

        0.0       0.69      0.61      0.65       132
        1.0       0.65      0.72      0.68       132

avg / total       0.67      0.67      0.67       264
10	0.8	0.053	0.836
20	0.7	0.089	0.757
30	0.8	0.147	0.813
40	0.775	0.188	0.793
50	0.72	0.217	0.752
60	0.717	0.256	0.746
70	0.729	0.3	0.752
80	0.713	0.333	0.738
90	0.711	0.371	0.735
100	0.71	0.408	0.733
200	0.61	0.499	0.877
300	0.44	0.499	0.927
500	0.264	0.499	0.927
1000	0.132	0.499	0.927
