rf_(20, 20, 20)
             precision    recall  f1-score   support

        0.0       0.98      0.62      0.76      3642
        1.0       0.06      0.73      0.12       132

avg / total       0.95      0.62      0.74      3774
10	0.1	0.001	0.069
20	0.15	0.003	0.115
30	0.1	0.003	0.089
40	0.125	0.005	0.107
50	0.12	0.006	0.107
60	0.1	0.006	0.094
70	0.129	0.009	0.115
80	0.113	0.009	0.105
90	0.1	0.009	0.096
100	0.1	0.01	0.097
200	0.09	0.012	0.123
300	0.09	0.012	0.167
500	0.092	0.012	0.253
1000	0.076	0.012	0.378
ClaimBuster
10	0.1	0.001	0.078
20	0.15	0.004	0.121
30	0.133	0.005	0.117
40	0.125	0.006	0.114
50	0.18	0.011	0.154
60	0.167	0.012	0.148
70	0.2	0.018	0.173
80	0.212	0.023	0.184
90	0.2	0.025	0.178
100	0.18	0.025	0.165
200	0.15	0.032	0.201
300	0.16	0.032	0.29
500	0.138	0.032	0.386
1000	0.092	0.032	0.481
