rf_(5, 5)
             precision    recall  f1-score   support

        0.0       0.98      0.68      0.80      3642
        1.0       0.07      0.71      0.13       132

avg / total       0.95      0.68      0.78      3774
10	0.2	0.003	0.142
20	0.2	0.007	0.169
30	0.267	0.015	0.223
40	0.325	0.027	0.271
50	0.32	0.034	0.274
60	0.317	0.041	0.277
70	0.271	0.041	0.249
80	0.237	0.041	0.227
90	0.222	0.043	0.217
100	0.22	0.046	0.215
200	0.17	0.053	0.241
300	0.143	0.053	0.285
500	0.11	0.053	0.34
1000	0.083	0.053	0.454
ClaimBuster
10	0.1	0.002	0.085
20	0.15	0.004	0.126
30	0.133	0.005	0.12
40	0.125	0.006	0.116
50	0.18	0.011	0.156
60	0.183	0.014	0.161
70	0.2	0.019	0.175
80	0.212	0.023	0.186
90	0.2	0.025	0.18
100	0.18	0.025	0.166
200	0.15	0.032	0.202
300	0.163	0.032	0.296
500	0.138	0.032	0.387
1000	0.091	0.032	0.478
