svc_lin
             precision    recall  f1-score   support

        0.0       0.98      0.47      0.63      3642
        1.0       0.05      0.72      0.09       132

avg / total       0.95      0.48      0.61      3774
10	0.0	0.0	0.0
20	0.05	0.001	0.036
30	0.033	0.001	0.027
40	0.075	0.002	0.057
50	0.06	0.002	0.049
60	0.05	0.002	0.043
70	0.043	0.002	0.039
80	0.05	0.002	0.044
90	0.056	0.002	0.049
100	0.06	0.003	0.052
200	0.07	0.004	0.086
300	0.067	0.004	0.115
500	0.07	0.004	0.183
1000	0.056	0.004	0.269
ClaimBuster
10	0.1	0.001	0.078
20	0.15	0.004	0.121
30	0.133	0.005	0.117
40	0.15	0.007	0.131
50	0.18	0.011	0.155
60	0.167	0.012	0.148
70	0.2	0.018	0.174
80	0.225	0.025	0.194
90	0.2	0.025	0.178
100	0.18	0.025	0.165
200	0.15	0.032	0.201
300	0.16	0.032	0.29
500	0.136	0.032	0.381
1000	0.092	0.032	0.481
