svc_linsampledtest
             precision    recall  f1-score   support

        0.0       0.60      0.42      0.49       132
        1.0       0.55      0.72      0.62       132

avg / total       0.58      0.57      0.56       264
10	0.6	0.036	0.675
20	0.65	0.072	0.687
30	0.633	0.1	0.666
40	0.65	0.134	0.671
50	0.72	0.186	0.717
60	0.65	0.202	0.668
70	0.643	0.232	0.661
80	0.625	0.256	0.647
90	0.622	0.284	0.643
100	0.62	0.312	0.64
200	0.55	0.395	0.784
300	0.44	0.395	0.894
500	0.264	0.395	0.894
1000	0.132	0.395	0.894
