rf_10sampledtest
             precision    recall  f1-score   support

        0.0       0.68      0.72      0.70       132
        1.0       0.70      0.66      0.68       132

avg / total       0.69      0.69      0.69       264
10	0.8	0.055	0.842
20	0.8	0.103	0.826
30	0.767	0.145	0.796
40	0.8	0.198	0.814
50	0.82	0.254	0.827
60	0.817	0.304	0.824
70	0.786	0.34	0.801
80	0.713	0.351	0.747
90	0.722	0.394	0.751
100	0.73	0.439	0.755
200	0.57	0.526	0.842
300	0.44	0.526	0.932
500	0.264	0.526	0.932
1000	0.132	0.526	0.932
