rf_200
             precision    recall  f1-score   support

        0.0       0.98      0.68      0.81      3642
        1.0       0.07      0.70      0.13       132

avg / total       0.95      0.68      0.78      3774
10	0.2	0.003	0.14
20	0.25	0.009	0.2
30	0.2	0.011	0.179
40	0.25	0.019	0.217
50	0.26	0.025	0.229
60	0.25	0.028	0.225
70	0.271	0.037	0.243
80	0.25	0.039	0.23
90	0.244	0.042	0.228
100	0.23	0.044	0.218
200	0.19	0.056	0.261
300	0.157	0.056	0.305
500	0.13	0.056	0.387
1000	0.083	0.056	0.461
ClaimBuster
10	0.1	0.001	0.078
20	0.15	0.004	0.12
30	0.133	0.005	0.116
40	0.125	0.006	0.113
50	0.18	0.011	0.153
60	0.167	0.012	0.147
70	0.2	0.018	0.172
80	0.2	0.021	0.175
90	0.2	0.024	0.177
100	0.18	0.024	0.164
200	0.15	0.031	0.2
300	0.163	0.031	0.294
500	0.136	0.031	0.381
1000	0.091	0.031	0.476
