rbf_100_1e-05sampledtest
             precision    recall  f1-score   support

        0.0       0.66      0.80      0.73       132
        1.0       0.75      0.59      0.66       132

avg / total       0.71      0.70      0.69       264
10	0.8	0.04	0.67
20	0.85	0.098	0.754
30	0.833	0.149	0.763
40	0.85	0.207	0.788
50	0.82	0.252	0.776
60	0.833	0.309	0.791
70	0.8	0.346	0.771
80	0.775	0.382	0.756
90	0.778	0.429	0.759
100	0.76	0.464	0.748
200	0.585	0.546	0.835
300	0.44	0.546	0.91
500	0.264	0.546	0.91
1000	0.132	0.546	0.91
