rbf_10_0.0001
             precision    recall  f1-score   support

        0.0       0.98      0.75      0.85      3642
        1.0       0.08      0.63      0.15       132

avg / total       0.95      0.74      0.82      3774
10	0.1	0.001	0.066
20	0.15	0.003	0.114
30	0.133	0.004	0.11
40	0.125	0.005	0.108
50	0.12	0.006	0.107
60	0.15	0.01	0.13
70	0.2	0.017	0.167
80	0.188	0.018	0.161
90	0.178	0.02	0.156
100	0.2	0.025	0.174
200	0.15	0.031	0.197
300	0.127	0.031	0.236
500	0.116	0.031	0.327
1000	0.083	0.031	0.43
ClaimBuster
10	0.1	0.001	0.078
20	0.15	0.004	0.12
30	0.133	0.005	0.115
40	0.125	0.006	0.112
50	0.18	0.011	0.152
60	0.183	0.013	0.158
70	0.2	0.018	0.172
80	0.188	0.019	0.166
90	0.2	0.024	0.177
100	0.18	0.024	0.164
200	0.15	0.031	0.2
300	0.163	0.031	0.293
500	0.138	0.031	0.385
1000	0.091	0.031	0.476
