rbf_500_0.0001sampledtest
             precision    recall  f1-score   support

        0.0       0.73      0.75      0.74       132
        1.0       0.74      0.73      0.74       132

avg / total       0.74      0.74      0.74       264
10	1.0	0.076	1.0
20	0.8	0.114	0.855
30	0.867	0.178	0.889
40	0.85	0.229	0.873
50	0.88	0.295	0.89
60	0.85	0.341	0.868
70	0.843	0.392	0.861
80	0.8	0.424	0.829
90	0.811	0.479	0.835
100	0.8	0.522	0.825
200	0.595	0.614	0.888
300	0.44	0.614	0.953
500	0.264	0.614	0.953
1000	0.132	0.614	0.953
