rbf_5_1e-05
             precision    recall  f1-score   support

        0.0       0.97      0.81      0.88      3642
        1.0       0.07      0.39      0.12       132

avg / total       0.94      0.79      0.86      3774
10	0.0	0.0	0.0
20	0.1	0.001	0.067
30	0.067	0.001	0.051
40	0.1	0.003	0.077
50	0.1	0.004	0.081
60	0.083	0.004	0.071
70	0.071	0.004	0.064
80	0.062	0.004	0.058
90	0.056	0.004	0.054
100	0.05	0.004	0.05
200	0.055	0.005	0.073
300	0.07	0.005	0.122
500	0.068	0.005	0.18
1000	0.062	0.005	0.296
ClaimBuster
10	0.1	0.001	0.078
20	0.15	0.004	0.12
30	0.133	0.005	0.115
40	0.125	0.006	0.112
50	0.18	0.011	0.152
60	0.183	0.013	0.158
70	0.2	0.018	0.172
80	0.188	0.019	0.166
90	0.2	0.024	0.177
100	0.18	0.024	0.164
200	0.15	0.031	0.2
300	0.163	0.031	0.293
500	0.138	0.031	0.385
1000	0.091	0.031	0.476
