svc_poly_2
             precision    recall  f1-score   support

        0.0       0.98      0.83      0.90      3642
        1.0       0.11      0.58      0.19       132

avg / total       0.95      0.82      0.87      3774
10	0.0	0.0	0.0
20	0.05	0.001	0.038
30	0.133	0.003	0.099
40	0.125	0.004	0.099
50	0.14	0.007	0.114
60	0.117	0.007	0.1
70	0.129	0.009	0.11
80	0.15	0.012	0.127
90	0.167	0.016	0.141
100	0.16	0.017	0.138
200	0.155	0.023	0.194
300	0.143	0.023	0.254
500	0.122	0.023	0.335
1000	0.087	0.023	0.443
ClaimBuster
10	0.1	0.001	0.078
20	0.15	0.004	0.121
30	0.133	0.005	0.116
40	0.125	0.006	0.113
50	0.18	0.011	0.154
60	0.167	0.012	0.147
70	0.2	0.018	0.173
80	0.212	0.023	0.184
90	0.2	0.025	0.178
100	0.18	0.025	0.165
200	0.15	0.032	0.2
300	0.163	0.032	0.294
500	0.136	0.032	0.381
1000	0.092	0.032	0.48
