svc_poly_5sampledtest
             precision    recall  f1-score   support

        0.0       0.61      0.75      0.67       132
        1.0       0.68      0.52      0.59       132

avg / total       0.64      0.64      0.63       264
10	0.9	0.062	0.905
20	0.95	0.132	0.939
30	0.967	0.205	0.953
40	0.95	0.27	0.944
50	0.96	0.343	0.951
60	0.967	0.416	0.957
70	0.971	0.489	0.962
80	0.975	0.563	0.965
90	0.978	0.637	0.968
100	0.98	0.711	0.97
200	0.655	0.949	0.981
300	0.44	0.949	0.986
500	0.264	0.949	0.986
1000	0.132	0.949	0.986
