svc5sampled
             precision    recall  f1-score   support

        0.0       0.71      0.69      0.70       132
        1.0       0.70      0.71      0.70       132

avg / total       0.70      0.70      0.70       264
10	0.9	0.062	0.905
20	0.85	0.114	0.866
30	0.867	0.173	0.874
40	0.85	0.225	0.861
50	0.78	0.256	0.811
60	0.767	0.297	0.798
70	0.771	0.344	0.798
80	0.75	0.378	0.78
90	0.744	0.418	0.774
100	0.74	0.457	0.768
200	0.575	0.559	0.853
300	0.44	0.559	0.939
500	0.264	0.559	0.939
1000	0.132	0.559	0.939
