svc_lin
             precision    recall  f1-score   support

        0.0       0.99      0.72      0.83      3642
        1.0       0.09      0.80      0.17       132

avg / total       0.96      0.72      0.81      3774
10	0.1	0.002	0.085
20	0.1	0.002	0.089
30	0.133	0.004	0.113
40	0.15	0.006	0.127
50	0.22	0.014	0.18
60	0.217	0.017	0.182
70	0.214	0.021	0.184
80	0.237	0.028	0.203
90	0.222	0.03	0.195
100	0.24	0.037	0.21
200	0.19	0.042	0.247
300	0.167	0.042	0.306
500	0.142	0.042	0.401
1000	0.1	0.042	0.519
ClaimBuster
10	0.1	0.002	0.085
20	0.15	0.004	0.127
30	0.133	0.005	0.121
40	0.15	0.008	0.135
50	0.18	0.012	0.158
60	0.183	0.014	0.162
70	0.2	0.019	0.176
80	0.225	0.025	0.196
90	0.2	0.025	0.18
100	0.18	0.025	0.167
200	0.15	0.032	0.203
300	0.163	0.032	0.296
500	0.138	0.032	0.388
1000	0.092	0.032	0.483
