svc_linsampledtest
             precision    recall  f1-score   support

        0.0       0.78      0.69      0.73       132
        1.0       0.72      0.80      0.76       132

avg / total       0.75      0.75      0.75       264
10	0.9	0.063	0.915
20	0.9	0.123	0.907
30	0.9	0.185	0.906
40	0.875	0.239	0.887
50	0.82	0.277	0.847
60	0.817	0.327	0.841
70	0.814	0.377	0.837
80	0.812	0.426	0.834
90	0.8	0.469	0.823
100	0.77	0.499	0.8
200	0.61	0.611	0.901
300	0.44	0.611	0.951
500	0.264	0.611	0.951
1000	0.132	0.611	0.951
