             precision    recall  f1-score   support

        0.0       0.98      0.71      0.82      3642
        1.0       0.08      0.68      0.14       132

avg / total       0.95      0.71      0.80      3774

10	0.4	0.012	0.337
20	0.2	0.012	0.218
30	0.167	0.014	0.191
40	0.175	0.017	0.193
50	0.2	0.022	0.209
60	0.217	0.027	0.22
70	0.229	0.032	0.228
80	0.212	0.034	0.216
90	0.211	0.037	0.215
100	0.22	0.042	0.221
200	0.205	0.061	0.285
300	0.153	0.061	0.31
500	0.128	0.061	0.392
1000	0.086	0.061	0.482

10	0.1	0.001	0.078
20	0.15	0.004	0.121
30	0.133	0.005	0.116
40	0.15	0.007	0.13
50	0.18	0.011	0.154
60	0.183	0.014	0.159
70	0.2	0.018	0.173
80	0.2	0.022	0.176
90	0.2	0.025	0.178
100	0.18	0.025	0.165
200	0.15	0.032	0.201
300	0.163	0.032	0.294
500	0.136	0.032	0.381
1000	0.091	0.032	0.477
