             precision    recall  f1-score   support

        0.0       0.98      0.78      0.87      3642
        1.0       0.08      0.49      0.13       132

avg / total       0.95      0.77      0.84      3774

10	0.0	0.0	0.0
20	0.1	0.001	0.072
30	0.167	0.005	0.126
40	0.175	0.008	0.14
50	0.18	0.011	0.148
60	0.183	0.014	0.154
70	0.171	0.015	0.149
80	0.212	0.023	0.18
90	0.2	0.025	0.174
100	0.19	0.026	0.169
200	0.125	0.027	0.17
300	0.113	0.027	0.214
500	0.094	0.027	0.273
1000	0.072	0.027	0.376
10	0.1	0.001	0.078
20	0.15	0.004	0.122
30	0.133	0.005	0.117
40	0.1	0.005	0.097
50	0.16	0.009	0.14
60	0.167	0.012	0.147
70	0.186	0.016	0.163
80	0.212	0.023	0.184
90	0.2	0.024	0.177
100	0.18	0.024	0.164
200	0.15	0.031	0.2
300	0.163	0.031	0.294
500	0.136	0.031	0.381
1000	0.091	0.031	0.476
