voting_lsvm_rbfsvm_mlp
             precision    recall  f1-score   support

        0.0       0.99      0.66      0.79      3642
        1.0       0.07      0.74      0.13       132

avg / total       0.95      0.66      0.77      3774
10	0.2	0.004	0.179
20	0.25	0.011	0.223
30	0.2	0.012	0.194
40	0.2	0.015	0.195
50	0.24	0.022	0.224
60	0.25	0.028	0.232
70	0.257	0.033	0.239
80	0.237	0.035	0.226
90	0.256	0.043	0.24
100	0.23	0.043	0.223
200	0.17	0.051	0.243
300	0.143	0.051	0.287
500	0.116	0.051	0.355
1000	0.084	0.051	0.462
ClaimBuster
10	0.1	0.001	0.078
20	0.15	0.004	0.122
30	0.133	0.005	0.117
40	0.125	0.006	0.114
50	0.18	0.011	0.154
60	0.167	0.013	0.148
70	0.2	0.018	0.174
80	0.225	0.025	0.194
90	0.2	0.025	0.178
100	0.18	0.025	0.165
200	0.15	0.032	0.201
300	0.163	0.032	0.294
500	0.138	0.032	0.386
1000	0.092	0.032	0.481
