voting_lsvm_rbfsvm_mlpsampledtest
             precision    recall  f1-score   support

        0.0       0.75      0.76      0.75       132
        1.0       0.75      0.74      0.75       132

avg / total       0.75      0.75      0.75       264
10	0.9	0.068	0.936
20	0.9	0.128	0.921
30	0.9	0.191	0.917
40	0.9	0.253	0.914
50	0.9	0.315	0.913
60	0.85	0.355	0.876
70	0.843	0.407	0.869
80	0.838	0.458	0.862
90	0.822	0.502	0.849
100	0.79	0.532	0.824
200	0.625	0.644	0.926
300	0.44	0.644	0.961
500	0.264	0.644	0.961
1000	0.132	0.644	0.961
