voting_lsvm_rbfsvm
             precision    recall  f1-score   support

        0.0       0.99      0.74      0.85      3642
        1.0       0.09      0.70      0.16       132

avg / total       0.95      0.74      0.82      3774
10	0.4	0.021	0.429
20	0.25	0.023	0.314
30	0.233	0.027	0.288
40	0.275	0.036	0.308
50	0.22	0.036	0.265
60	0.2	0.037	0.245
70	0.214	0.042	0.251
80	0.2	0.044	0.238
90	0.233	0.052	0.258
100	0.21	0.052	0.24
200	0.21	0.07	0.311
300	0.18	0.07	0.37
500	0.122	0.07	0.401
1000	0.091	0.07	0.524
ClaimBuster
10	0.1	0.002	0.085
20	0.15	0.004	0.126
30	0.133	0.005	0.12
40	0.15	0.007	0.133
50	0.16	0.01	0.142
60	0.167	0.012	0.149
70	0.2	0.018	0.175
80	0.212	0.023	0.186
90	0.2	0.025	0.179
100	0.18	0.025	0.166
200	0.15	0.032	0.202
300	0.163	0.032	0.295
500	0.136	0.032	0.383
1000	0.091	0.032	0.478
