voting_lsvm_rbfsvmsampledtest
             precision    recall  f1-score   support

        0.0       0.71      0.73      0.72       132
        1.0       0.72      0.70      0.71       132

avg / total       0.71      0.71      0.71       264
10	1.0	0.076	1.0
20	1.0	0.152	1.0
30	1.0	0.227	1.0
40	0.95	0.285	0.965
50	0.92	0.343	0.942
60	0.9	0.399	0.926
70	0.814	0.418	0.862
80	0.8	0.461	0.848
90	0.822	0.523	0.86
100	0.8	0.56	0.841
200	0.615	0.639	0.922
300	0.44	0.639	0.968
500	0.264	0.639	0.968
1000	0.132	0.639	0.968
