adaenb
             precision    recall  f1-score   support

        0.0       0.97      0.64      0.77       684
        1.0       0.09      0.65      0.16        37

avg / total       0.93      0.64      0.74       721
10	0.2	0.037	0.142
20	0.15	0.026	0.125
30	0.133	0.023	0.119
40	0.125	0.022	0.122
50	0.14	0.022	0.156
60	0.117	0.022	0.156
70	0.114	0.022	0.172
80	0.113	0.022	0.187
90	0.111	0.022	0.202
100	0.11	0.022	0.216
200	0.1	0.022	0.337
300	0.09	0.022	0.421
500	0.07	0.022	0.508
1000	0.037	0.022	0.529
