ensemble_lsvmcomb
             precision    recall  f1-score   support

        0.0       0.99      0.75      0.85      1594
        1.0       0.11      0.81      0.19        59

avg / total       0.96      0.75      0.83      1653
10	0.2	0.065	0.18
20	0.25	0.07	0.221
30	0.233	0.066	0.218
40	0.225	0.062	0.215
50	0.22	0.06	0.214
60	0.217	0.058	0.215
70	0.229	0.058	0.248
80	0.225	0.058	0.27
90	0.222	0.058	0.292
100	0.22	0.058	0.313
200	0.17	0.058	0.43
300	0.14	0.058	0.5
500	0.1	0.058	0.565
1000	0.059	0.058	0.63
