ensemble_lsvmcombtest
             precision    recall  f1-score   support

        0.0       0.98      0.74      0.84      3642
        1.0       0.09      0.69      0.15       132

avg / total       0.95      0.73      0.82      3774
10	0.1	0.017	0.078
20	0.15	0.027	0.124
30	0.233	0.045	0.187
40	0.225	0.044	0.188
50	0.28	0.063	0.232
60	0.3	0.072	0.252
70	0.314	0.079	0.267
80	0.275	0.069	0.243
90	0.256	0.065	0.232
100	0.24	0.061	0.222
200	0.195	0.059	0.265
300	0.167	0.059	0.318
500	0.126	0.059	0.377
1000	0.089	0.059	0.486
