lsvm
             precision    recall  f1-score   support

        0.0       0.98      0.72      0.83      3642
        1.0       0.08      0.69      0.15       132

avg / total       0.95      0.72      0.81      3774
10	0.2	0.045	0.158
20	0.2	0.046	0.173
30	0.267	0.066	0.227
40	0.275	0.07	0.239
50	0.32	0.087	0.276
60	0.3	0.083	0.267
70	0.3	0.084	0.271
80	0.287	0.081	0.264
90	0.256	0.072	0.243
100	0.25	0.07	0.24
200	0.21	0.058	0.287
300	0.167	0.058	0.327
500	0.124	0.058	0.381
1000	0.085	0.058	0.477
